run_label,scope,community,topic,entropy_t0,entropy_t500,t_conv,ever_sme,ever_sme_pct,target_met,top1_node,top1_frac,top1_deg,top2_node,top2_frac,top2_deg,top3_node,top3_frac,top3_deg,post_conv_new_sme,post_conv_pct
baseline (bug present),overall,,Topic 1,2.2750,-0.0000,18,119,99.17,PASS,85,0.9900,0,45,0.9840,0,16,0.9721,0,89,74.17
baseline (bug present),overall,,Topic 2,2.2732,-0.0000,18,119,99.17,PASS,16,0.9980,0,85,0.9900,0,45,0.9780,0,93,77.50
baseline (bug present),overall,,Topic 3,2.2612,-0.0000,18,118,98.33,PASS,16,0.9880,0,45,0.9860,0,85,0.9760,0,92,76.67
baseline (bug present),community,C1(0-29),Topic 1,NA,NA,18,30,100.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
baseline (bug present),community,C1(0-29),Topic 2,NA,NA,18,30,100.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
baseline (bug present),community,C1(0-29),Topic 3,NA,NA,18,30,100.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
baseline (bug present),community,C2(30-59),Topic 1,NA,NA,18,29,96.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
baseline (bug present),community,C2(30-59),Topic 2,NA,NA,18,30,100.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
baseline (bug present),community,C2(30-59),Topic 3,NA,NA,18,29,96.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
baseline (bug present),community,C3(60-89),Topic 1,NA,NA,18,30,100.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
baseline (bug present),community,C3(60-89),Topic 2,NA,NA,18,30,100.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
baseline (bug present),community,C3(60-89),Topic 3,NA,NA,18,30,100.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
baseline (bug present),community,C4(90-119),Topic 1,NA,NA,18,30,100.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
baseline (bug present),community,C4(90-119),Topic 2,NA,NA,18,29,96.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
baseline (bug present),community,C4(90-119),Topic 3,NA,NA,18,29,96.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
isolated-node fix,overall,,Topic 1,2.2750,-0.0000,18,117,97.50,PASS,22,0.3353,1,33,0.3074,1,119,0.3034,2,85,70.83
isolated-node fix,overall,,Topic 2,2.2732,-0.0000,18,117,97.50,PASS,55,0.2794,2,26,0.2655,1,19,0.2635,1,93,77.50
isolated-node fix,overall,,Topic 3,2.2612,-0.0000,18,117,97.50,PASS,26,0.3812,1,19,0.3154,1,82,0.2535,1,91,75.83
isolated-node fix,community,C1(0-29),Topic 1,NA,NA,18,29,96.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
isolated-node fix,community,C1(0-29),Topic 2,NA,NA,18,29,96.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
isolated-node fix,community,C1(0-29),Topic 3,NA,NA,18,29,96.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
isolated-node fix,community,C2(30-59),Topic 1,NA,NA,18,29,96.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
isolated-node fix,community,C2(30-59),Topic 2,NA,NA,18,29,96.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
isolated-node fix,community,C2(30-59),Topic 3,NA,NA,18,29,96.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
isolated-node fix,community,C3(60-89),Topic 1,NA,NA,18,29,96.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
isolated-node fix,community,C3(60-89),Topic 2,NA,NA,18,29,96.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
isolated-node fix,community,C3(60-89),Topic 3,NA,NA,18,29,96.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
isolated-node fix,community,C4(90-119),Topic 1,NA,NA,18,30,100.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
isolated-node fix,community,C4(90-119),Topic 2,NA,NA,18,30,100.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
isolated-node fix,community,C4(90-119),Topic 3,NA,NA,18,30,100.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
