run_label,scope,community,topic,entropy_t0,entropy_t500,t_conv,ever_sme,ever_sme_pct,target_met,top1_node,top1_frac,top2_node,top2_frac,top3_node,top3_frac,post_conv_new_sme,post_conv_pct
baseline (no norm),overall,,Topic 1,2.2750,-0.0000,18,119,99.17,PASS,85,0.9900,45,0.9840,16,0.9721,89,74.17
baseline (no norm),overall,,Topic 2,2.2732,-0.0000,18,119,99.17,PASS,16,0.9980,85,0.9900,45,0.9780,93,77.50
baseline (no norm),overall,,Topic 3,2.2612,-0.0000,18,118,98.33,PASS,16,0.9880,45,0.9860,85,0.9760,92,76.67
baseline (no norm),community,C1(0-29),Topic 1,NA,NA,18,30,100.00,NA,NA,NA,NA,NA,NA,NA,NA,NA
baseline (no norm),community,C1(0-29),Topic 2,NA,NA,18,30,100.00,NA,NA,NA,NA,NA,NA,NA,NA,NA
baseline (no norm),community,C1(0-29),Topic 3,NA,NA,18,30,100.00,NA,NA,NA,NA,NA,NA,NA,NA,NA
baseline (no norm),community,C2(30-59),Topic 1,NA,NA,18,29,96.67,NA,NA,NA,NA,NA,NA,NA,NA,NA
baseline (no norm),community,C2(30-59),Topic 2,NA,NA,18,30,100.00,NA,NA,NA,NA,NA,NA,NA,NA,NA
baseline (no norm),community,C2(30-59),Topic 3,NA,NA,18,29,96.67,NA,NA,NA,NA,NA,NA,NA,NA,NA
baseline (no norm),community,C3(60-89),Topic 1,NA,NA,18,30,100.00,NA,NA,NA,NA,NA,NA,NA,NA,NA
baseline (no norm),community,C3(60-89),Topic 2,NA,NA,18,30,100.00,NA,NA,NA,NA,NA,NA,NA,NA,NA
baseline (no norm),community,C3(60-89),Topic 3,NA,NA,18,30,100.00,NA,NA,NA,NA,NA,NA,NA,NA,NA
baseline (no norm),community,C4(90-119),Topic 1,NA,NA,18,30,100.00,NA,NA,NA,NA,NA,NA,NA,NA,NA
baseline (no norm),community,C4(90-119),Topic 2,NA,NA,18,29,96.67,NA,NA,NA,NA,NA,NA,NA,NA,NA
baseline (no norm),community,C4(90-119),Topic 3,NA,NA,18,29,96.67,NA,NA,NA,NA,NA,NA,NA,NA,NA
degree-normalised,overall,,Topic 1,2.2750,-0.0000,18,81,67.50,PASS,85,0.9860,45,0.9780,16,0.9641,57,47.50
degree-normalised,overall,,Topic 2,2.2732,-0.0000,18,72,60.00,FAIL,16,0.9980,85,0.9840,45,0.9701,49,40.83
degree-normalised,overall,,Topic 3,2.2612,-0.0000,18,73,60.83,PASS,16,0.9820,45,0.9800,85,0.9661,46,38.33
degree-normalised,community,C1(0-29),Topic 1,NA,NA,18,23,76.67,NA,NA,NA,NA,NA,NA,NA,NA,NA
degree-normalised,community,C1(0-29),Topic 2,NA,NA,18,20,66.67,NA,NA,NA,NA,NA,NA,NA,NA,NA
degree-normalised,community,C1(0-29),Topic 3,NA,NA,18,19,63.33,NA,NA,NA,NA,NA,NA,NA,NA,NA
degree-normalised,community,C2(30-59),Topic 1,NA,NA,18,20,66.67,NA,NA,NA,NA,NA,NA,NA,NA,NA
degree-normalised,community,C2(30-59),Topic 2,NA,NA,18,17,56.67,NA,NA,NA,NA,NA,NA,NA,NA,NA
degree-normalised,community,C2(30-59),Topic 3,NA,NA,18,21,70.00,NA,NA,NA,NA,NA,NA,NA,NA,NA
degree-normalised,community,C3(60-89),Topic 1,NA,NA,18,20,66.67,NA,NA,NA,NA,NA,NA,NA,NA,NA
degree-normalised,community,C3(60-89),Topic 2,NA,NA,18,18,60.00,NA,NA,NA,NA,NA,NA,NA,NA,NA
degree-normalised,community,C3(60-89),Topic 3,NA,NA,18,17,56.67,NA,NA,NA,NA,NA,NA,NA,NA,NA
degree-normalised,community,C4(90-119),Topic 1,NA,NA,18,18,60.00,NA,NA,NA,NA,NA,NA,NA,NA,NA
degree-normalised,community,C4(90-119),Topic 2,NA,NA,18,17,56.67,NA,NA,NA,NA,NA,NA,NA,NA,NA
degree-normalised,community,C4(90-119),Topic 3,NA,NA,18,16,53.33,NA,NA,NA,NA,NA,NA,NA,NA,NA
