run_num,eta,seed,topic1_cosim_T500,topic2_cosim_T500,topic3_cosim_T500,ever_sme_t1,ever_sme_t2,ever_sme_t3,min_ever_sme,max_top_holder,diversity_regime,converged,t_conv
33,0.01,21,0.2131,0.1656,0.1976,29,28,24,24,0.5349,1,0,NA
34,0.01,42,0.5122,0.1276,0.2553,22,24,22,22,0.9461,0,0,NA
35,0.01,123,0.1813,0.8005,0.4206,26,27,18,18,0.7545,0,0,NA
36,0.05,21,0.2175,0.1863,0.2425,30,27,25,25,0.4671,1,0,NA
37,0.05,42,0.5368,0.1227,0.2326,23,28,24,23,0.9401,0,0,NA
38,0.05,123,0.1869,0.8032,0.4488,26,28,23,23,0.6826,0,0,NA
39,0.07,21,0.2160,0.1898,0.2602,30,28,26,26,0.4611,1,0,NA
40,0.07,42,0.5545,0.1220,0.2439,23,28,25,23,0.9361,0,0,NA
41,0.07,123,0.1829,0.8069,0.4689,26,28,22,22,0.6766,0,0,NA
42,0.10,21,0.2266,0.1853,0.2902,29,28,25,25,0.4551,1,0,NA
43,0.10,42,0.6353,0.1241,0.2303,23,29,26,23,0.9202,0,0,NA
44,0.10,123,0.1886,0.8174,0.5968,26,28,23,23,0.6727,0,0,NA
45,0.12,21,0.2500,0.1868,0.3200,29,28,25,25,0.4511,1,0,NA
46,0.12,42,0.6676,0.1253,0.2214,22,29,26,22,0.9202,0,0,NA
47,0.12,123,0.1927,0.8957,0.6036,26,28,24,24,0.6607,0,0,NA
48,0.15,21,0.2644,0.1906,0.3527,28,28,27,27,0.4571,1,0,NA
49,0.15,42,0.8050,0.1271,0.2083,27,29,25,25,0.9042,0,0,NA
50,0.15,123,0.2021,0.9034,0.6177,26,28,25,25,0.6727,0,0,NA
